country,iso3,year,value
Aruba,ABW,2010,
Aruba,ABW,2012,21000.0
South Africa,ZAF,2010,8700000.0
South Africa,ZAF,2011,10000000.0
South Africa,ZAF,2012,13200000.0
South Africa,ZAF,2013,30894200.0
South Africa,ZAF,2014,24816000.0
South Africa,ZAF,2015,31809500.0
South Africa,ZAF,2016,34065800.0
South Africa,ZAF,2017,39684000.0
South Africa,ZAF,2018,44780700.0
South Africa,ZAF,2019,59858500.0
South Africa,ZAF,2020,65627600.0
South Africa,ZAF,2021,68702100.0
South Africa,ZAF,2022,80895100.0
South Africa,ZAF,2023,82702500.0
South Africa,ZAF,2024,83419700.0
Brazil,BRA,2008,3471380.0
Brazil,BRA,2009,8664440.0
Brazil,BRA,2010,20628000.0
Brazil,BRA,2011,41114400.0
Brazil,BRA,2012,65951700.0
Brazil,BRA,2013,103108000.0
Brazil,BRA,2014,157897000.0
Brazil,BRA,2015,180486000.0
Brazil,BRA,2016,183706000.0
Brazil,BRA,2017,188855000.0
Brazil,BRA,2018,184571000.0
Brazil,BRA,2019,183789000.0
Brazil,BRA,2020,190739000.0
Brazil,BRA,2021,205539000.0
Brazil,BRA,2022,200379000.0
Brazil,BRA,2023,205811000.0
Brazil,BRA,2024,209717000.0
Chile,CHL,2009,599506.0
Chile,CHL,2010,1443580.0
Chile,CHL,2011,3102240.0
Chile,CHL,2012,4933450.0
Chile,CHL,2013,6270410.0
Chile,CHL,2014,8900690.0
Chile,CHL,2015,10057400.0
Chile,CHL,2016,12914400.0
Chile,CHL,2017,15932900.0
Chile,CHL,2018,17257700.0
Chile,CHL,2019,18103800.0
Chile,CHL,2020,19459500.0
Chile,CHL,2021,21600100.0
Chile,CHL,2022,21466100.0
Chile,CHL,2023,21522200.0
Chile,CHL,2024,21500400.0
India,IND,2009,
India,IND,2010,
India,IND,2011,11755700.0
India,IND,2012,21862900.0
India,IND,2013,40264200.0
India,IND,2014,69989600.0
India,IND,2015,120030000.0
India,IND,2016,217356000.0
India,IND,2017,345014000.0
India,IND,2018,507190000.0
India,IND,2019,642799000.0
India,IND,2020,725120000.0
India,IND,2021,765992000.0
India,IND,2022,798690000.0
India,IND,2023,865290000.0
India,IND,2024,898570000.0
Ukraine,UKR,2010,1900000.0
Ukraine,UKR,2011,2000000.0
Ukraine,UKR,2012,2470000.0
Ukraine,UKR,2013,2837500.0
Ukraine,UKR,2014,3205000.0
Ukraine,UKR,2015,3413000.0
Ukraine,UKR,2016,9652660.0
Ukraine,UKR,2017,17386000.0
Ukraine,UKR,2018,19907600.0
Ukraine,UKR,2019,32453000.0
Ukraine,UKR,2020,35596400.0
Ukraine,UKR,2021,33184500.0
Ukraine,UKR,2022,31745500.0
Ukraine,UKR,2023,33447500.0
Ukraine,UKR,2024,32867100.0
Aruba,ABW,2010,
Aruba,ABW,2012,20.6362
South Africa,ZAF,2010,16.6208
South Africa,ZAF,2011,18.8696
South Africa,ZAF,2012,24.5433
South Africa,ZAF,2013,56.5012
South Africa,ZAF,2014,44.6372
South Africa,ZAF,2015,56.0781
South Africa,ZAF,2016,59.4937
South Africa,ZAF,2017,68.8539
South Africa,ZAF,2018,76.4007
South Africa,ZAF,2019,100.454
South Africa,ZAF,2020,108.364
South Africa,ZAF,2021,111.706
South Africa,ZAF,2022,129.684
South Africa,ZAF,2023,130.833
South Africa,ZAF,2024,130.329
Brazil,BRA,2008,1.82352
Brazil,BRA,2009,4.51085
Brazil,BRA,2010,10.6493
Brazil,BRA,2011,21.0536
Brazil,BRA,2012,33.4991
Brazil,BRA,2013,51.949
Brazil,BRA,2014,78.9148
Brazil,BRA,2015,89.4931
Brazil,BRA,2016,90.3983
Brazil,BRA,2017,92.2579
Brazil,BRA,2018,89.5507
Brazil,BRA,2019,88.5921
Brazil,BRA,2020,91.4109
Brazil,BRA,2021,98.0856
Brazil,BRA,2022,95.2794
Brazil,BRA,2023,97.4755
Brazil,BRA,2024,98.9238
Chile,CHL,2009,3.52449
Chile,CHL,2010,8.40198
Chile,CHL,2011,17.8785
Chile,CHL,2012,28.1604
Chile,CHL,2013,35.452
Chile,CHL,2014,49.8242
Chile,CHL,2015,55.727
Chile,CHL,2016,70.6972
Chile,CHL,2017,85.8505
Chile,CHL,2018,91.3434
Chile,CHL,2019,94.3017
Chile,CHL,2020,100.459
Chile,CHL,2021,111.018
Chile,CHL,2022,109.784
Chile,CHL,2023,109.479
Chile,CHL,2024,108.782
India,IND,2009,
India,IND,2010,
India,IND,2011,0.932086
India,IND,2012,1.70981
India,IND,2013,3.10721
India,IND,2014,5.33345
India,IND,2015,9.03824
India,IND,2016,16.173
India,IND,2017,25.375
India,IND,2018,36.8957
India,IND,2019,46.2768
India,IND,2020,51.6976
India,IND,2021,54.1642
India,IND,2022,56.0318
India,IND,2023,60.1702
India,IND,2024,61.9303
Ukraine,UKR,2010,4.14915
Ukraine,UKR,2011,4.38824
Ukraine,UKR,2012,5.44661
Ukraine,UKR,2013,6.28937
Ukraine,UKR,2014,7.55946
Ukraine,UKR,2015,7.98181
Ukraine,UKR,2016,22.6637
Ukraine,UKR,2017,40.9904
Ukraine,UKR,2018,47.1555
Ukraine,UKR,2019,77.2992
Ukraine,UKR,2020,85.296
Ukraine,UKR,2021,80.1196
Ukraine,UKR,2022,77.4324
Ukraine,UKR,2023,88.6431
Ukraine,UKR,2024,86.8118
