country,iso3,year,value
Aruba,ABW,2006,36.7
Aruba,ABW,2010,63.0
Aruba,ABW,2011,66.2
Aruba,ABW,2012,69.5907
Aruba,ABW,2016,76.56
Aruba,ABW,2017,68.8413
South Africa,ZAF,2002,1.92375
South Africa,ZAF,2003,2.11482
South Africa,ZAF,2004,2.5
South Africa,ZAF,2005,3.0
South Africa,ZAF,2006,3.6
South Africa,ZAF,2007,4.76
South Africa,ZAF,2008,6.5
South Africa,ZAF,2009,8.83
South Africa,ZAF,2010,10.1
South Africa,ZAF,2011,23.94
South Africa,ZAF,2012,33.92
South Africa,ZAF,2013,34.35
South Africa,ZAF,2014,44.2236
South Africa,ZAF,2015,49.9582
South Africa,ZAF,2016,59.767
South Africa,ZAF,2017,61.8331
South Africa,ZAF,2018,64.6971
South Africa,ZAF,2019,63.251
South Africa,ZAF,2020,74.1365
South Africa,ZAF,2021,77.4708
South Africa,ZAF,2022,75.2937
South Africa,ZAF,2023,78.5948
Brazil,BRA,2001,8.6
Brazil,BRA,2002,10.3
Brazil,BRA,2003,11.5
Brazil,BRA,2004,12.4
Brazil,BRA,2005,13.6
Brazil,BRA,2006,16.82
Brazil,BRA,2007,20.0
Brazil,BRA,2008,23.83
Brazil,BRA,2009,23.8515
Brazil,BRA,2010,27.06
Brazil,BRA,2011,35.84
Brazil,BRA,2012,39.57
Brazil,BRA,2013,43.34
Brazil,BRA,2014,49.6206
Brazil,BRA,2015,50.8536
Brazil,BRA,2016,53.9075
Brazil,BRA,2017,60.754
Brazil,BRA,2018,66.663
Brazil,BRA,2019,71.3882
Brazil,BRA,2020,83.1691
Brazil,BRA,2021,81.5294
Brazil,BRA,2022,80.2355
Brazil,BRA,2023,84.1061
Brazil,BRA,2024,83.4368
Chile,CHL,2000,8.4
Chile,CHL,2001,9.6
Chile,CHL,2002,10.1885
Chile,CHL,2003,12.6
Chile,CHL,2004,14.4993
Chile,CHL,2005,16.6849
Chile,CHL,2006,19.1586
Chile,CHL,2007,22.0942
Chile,CHL,2008,26.6
Chile,CHL,2009,31.3
Chile,CHL,2010,35.0
Chile,CHL,2011,40.9461
Chile,CHL,2012,46.5
Chile,CHL,2013,52.7
Chile,CHL,2014,57.4
Chile,CHL,2015,69.8904
Chile,CHL,2016,79.2978
Chile,CHL,2017,87.539
Chile,CHL,2018,88.7118
Chile,CHL,2019,89.9003
Chile,CHL,2020,89.7578
Chile,CHL,2021,93.7961
Chile,CHL,2022,94.1694
Chile,CHL,2023,94.3466
India,IND,2002,0.22392
India,IND,2003,0.737254
India,IND,2004,1.37535
India,IND,2005,1.62611
India,IND,2006,2.9
India,IND,2007,3.2
India,IND,2008,3.6
India,IND,2009,4.0
India,IND,2010,4.5
India,IND,2011,5.0
India,IND,2012,6.0
India,IND,2013,8.0
India,IND,2014,10.0
India,IND,2015,12.0
India,IND,2016,16.5
India,IND,2017,19.0
India,IND,2018,23.8
India,IND,2022,76.3
India,IND,2025,86.3
Ukraine,UKR,2002,0.267949
Ukraine,UKR,2003,1.0
Ukraine,UKR,2004,2.0
Ukraine,UKR,2005,3.0
Ukraine,UKR,2006,4.5
Ukraine,UKR,2007,5.04812
Ukraine,UKR,2008,10.2605
Ukraine,UKR,2009,15.57
Ukraine,UKR,2010,22.2
Ukraine,UKR,2011,29.2719
Ukraine,UKR,2012,35.62
Ukraine,UKR,2013,40.0
Ukraine,UKR,2014,47.6568
Ukraine,UKR,2015,50.2416
Ukraine,UKR,2016,54.6384
Ukraine,UKR,2017,60.2638
Ukraine,UKR,2018,61.8763
Ukraine,UKR,2019,65.7804
Ukraine,UKR,2020,79.2495
Ukraine,UKR,2021,82.6755
Ukraine,UKR,2022,79.9026
Ukraine,UKR,2023,84.1866
