country,iso3,year,value
Aruba,ABW,2005,90.0
Aruba,ABW,2006,99.0
Aruba,ABW,2007,99.0
Aruba,ABW,2008,99.0
Aruba,ABW,2015,99.0
Aruba,ABW,2019,99.0
Aruba,ABW,2020,99.0
Aruba,ABW,2021,99.0
Aruba,ABW,2022,99.0
South Africa,ZAF,2000,92.0
South Africa,ZAF,2001,93.0
South Africa,ZAF,2002,95.1
South Africa,ZAF,2003,96.0
South Africa,ZAF,2004,96.0
South Africa,ZAF,2005,96.0
South Africa,ZAF,2006,97.1
South Africa,ZAF,2007,99.79
South Africa,ZAF,2008,99.79
South Africa,ZAF,2009,99.79
South Africa,ZAF,2010,99.79
South Africa,ZAF,2011,99.79
South Africa,ZAF,2012,99.79
South Africa,ZAF,2013,99.79
South Africa,ZAF,2014,99.9
South Africa,ZAF,2015,99.9
South Africa,ZAF,2016,99.6
South Africa,ZAF,2017,99.97
South Africa,ZAF,2018,99.97
South Africa,ZAF,2019,99.97
South Africa,ZAF,2020,99.99
South Africa,ZAF,2021,99.97
South Africa,ZAF,2022,99.95
South Africa,ZAF,2023,99.88
South Africa,ZAF,2024,99.9
Brazil,BRA,2004,88.0
Brazil,BRA,2005,88.35
Brazil,BRA,2006,89.42
Brazil,BRA,2007,90.64
Brazil,BRA,2008,91.72
Brazil,BRA,2015,93.53
Brazil,BRA,2016,95.61
Brazil,BRA,2017,95.83
Brazil,BRA,2018,95.83
Brazil,BRA,2019,91.22
Brazil,BRA,2020,90.27
Brazil,BRA,2021,90.31
Brazil,BRA,2022,92.52
Brazil,BRA,2023,93.44
Brazil,BRA,2024,92.73
Chile,CHL,2000,100.0
Chile,CHL,2001,100.0
Chile,CHL,2002,100.0
Chile,CHL,2003,100.0
Chile,CHL,2004,100.0
Chile,CHL,2005,100.0
Chile,CHL,2006,100.0
Chile,CHL,2007,100.0
Chile,CHL,2008,100.0
Chile,CHL,2009,100.0
Chile,CHL,2010,100.0
Chile,CHL,2011,100.0
Chile,CHL,2012,95.0
Chile,CHL,2014,96.0
Chile,CHL,2015,96.0
Chile,CHL,2016,96.0
Chile,CHL,2017,96.0
Chile,CHL,2018,99.0
Chile,CHL,2019,99.0
Chile,CHL,2020,99.0
Chile,CHL,2021,99.0
Chile,CHL,2022,99.0
Chile,CHL,2023,99.0
Chile,CHL,2024,99.0
India,IND,2000,21.1
India,IND,2001,21.1
India,IND,2005,30.5
India,IND,2006,60.9
India,IND,2007,70.0
India,IND,2009,83.0
India,IND,2013,93.46
India,IND,2015,95.0
India,IND,2016,96.0
India,IND,2017,97.0
India,IND,2018,97.0
India,IND,2019,99.06
India,IND,2020,99.12
India,IND,2021,99.21
India,IND,2022,99.21
India,IND,2023,99.2
India,IND,2024,99.28
Ukraine,UKR,2002,75.0
Ukraine,UKR,2004,92.0
Ukraine,UKR,2005,96.0
Ukraine,UKR,2006,96.16
Ukraine,UKR,2008,99.9
Ukraine,UKR,2009,99.9
Ukraine,UKR,2010,99.9
Ukraine,UKR,2011,99.9
Ukraine,UKR,2012,99.9
Ukraine,UKR,2013,99.9
Ukraine,UKR,2014,99.9
Ukraine,UKR,2015,99.9
Ukraine,UKR,2016,99.9
Ukraine,UKR,2017,99.9
Ukraine,UKR,2018,99.9
Ukraine,UKR,2019,99.9
Ukraine,UKR,2020,99.9
Ukraine,UKR,2021,99.9
Ukraine,UKR,2022,99.9
Aruba,ABW,2014,
Aruba,ABW,2015,80.0
Aruba,ABW,2016,95.0
Aruba,ABW,2019,95.0
Aruba,ABW,2020,95.0
Aruba,ABW,2021,95.0
Aruba,ABW,2022,95.0
South Africa,ZAF,2012,84.25
South Africa,ZAF,2013,90.4
South Africa,ZAF,2014,95.0
South Africa,ZAF,2015,98.0
South Africa,ZAF,2016,98.0
South Africa,ZAF,2017,98.61
South Africa,ZAF,2018,99.51
South Africa,ZAF,2019,99.66
South Africa,ZAF,2020,99.8
South Africa,ZAF,2021,99.88
South Africa,ZAF,2022,99.88
South Africa,ZAF,2023,99.78
South Africa,ZAF,2024,99.85
Brazil,BRA,2009,55.0
Brazil,BRA,2010,67.05
Brazil,BRA,2011,81.63
Brazil,BRA,2012,85.98
Brazil,BRA,2013,88.66
Brazil,BRA,2014,92.2
Brazil,BRA,2015,93.53
Brazil,BRA,2016,95.17
Brazil,BRA,2017,95.52
Brazil,BRA,2018,95.52
Brazil,BRA,2019,91.13
Brazil,BRA,2020,90.11
Brazil,BRA,2021,90.15
Brazil,BRA,2022,92.36
Brazil,BRA,2023,93.39
Brazil,BRA,2024,92.65
Chile,CHL,2014,50.0
Chile,CHL,2015,90.0
Chile,CHL,2016,95.0
Chile,CHL,2017,95.0
Chile,CHL,2018,95.0
Chile,CHL,2019,95.0
Chile,CHL,2020,95.0
Chile,CHL,2021,95.0
Chile,CHL,2022,95.0
Chile,CHL,2023,98.0
Chile,CHL,2024,98.0
India,IND,2007,
India,IND,2008,
India,IND,2009,0.08
India,IND,2012,36.53
India,IND,2013,47.26
India,IND,2014,61.0
India,IND,2015,74.0
India,IND,2016,79.67
India,IND,2017,88.0
India,IND,2018,94.0
India,IND,2019,98.15
India,IND,2020,98.56
India,IND,2021,98.82
India,IND,2022,98.82
India,IND,2023,98.9
India,IND,2024,99.06
Ukraine,UKR,2008,0.5
Ukraine,UKR,2009,0.8
Ukraine,UKR,2010,1.4
Ukraine,UKR,2011,1.7
Ukraine,UKR,2012,2.2
Ukraine,UKR,2013,1.7
Ukraine,UKR,2014,1.7
Ukraine,UKR,2015,35.0
Ukraine,UKR,2016,90.0
Ukraine,UKR,2017,90.0
Ukraine,UKR,2019,89.1
Ukraine,UKR,2020,89.1
Ukraine,UKR,2021,91.6
Ukraine,UKR,2022,91.0
Ukraine,UKR,2023,91.0
Aruba,ABW,2013,10.0
Aruba,ABW,2014,21.44
Aruba,ABW,2015,41.0
Aruba,ABW,2016,64.1
Aruba,ABW,2019,64.1
Aruba,ABW,2020,64.1
Aruba,ABW,2021,64.1
Aruba,ABW,2022,64.1
South Africa,ZAF,2012,5.0
South Africa,ZAF,2013,14.23
South Africa,ZAF,2014,34.0
South Africa,ZAF,2015,54.0
South Africa,ZAF,2016,73.0
South Africa,ZAF,2017,77.62
South Africa,ZAF,2018,90.32
South Africa,ZAF,2019,94.41
South Africa,ZAF,2020,96.45
South Africa,ZAF,2021,97.94
South Africa,ZAF,2022,98.47
South Africa,ZAF,2023,98.95
South Africa,ZAF,2024,99.41
Brazil,BRA,2012,10.0
Brazil,BRA,2013,30.0
Brazil,BRA,2014,66.14
Brazil,BRA,2015,72.08
Brazil,BRA,2016,75.38
Brazil,BRA,2017,83.05
Brazil,BRA,2018,83.05
Brazil,BRA,2019,88.75
Brazil,BRA,2020,88.23
Brazil,BRA,2021,88.3
Brazil,BRA,2022,92.36
Brazil,BRA,2023,93.19
Brazil,BRA,2024,91.16
Chile,CHL,2013,34.52
Chile,CHL,2014,50.0
Chile,CHL,2015,76.0
Chile,CHL,2016,79.0
Chile,CHL,2017,88.0
Chile,CHL,2019,88.0
Chile,CHL,2020,88.0
Chile,CHL,2021,88.0
Chile,CHL,2022,89.0
Chile,CHL,2023,96.0
Chile,CHL,2024,96.0
India,IND,2014,2.0
India,IND,2015,4.0
India,IND,2016,73.5
India,IND,2017,88.0
India,IND,2018,94.0
India,IND,2019,97.92
India,IND,2020,98.45
India,IND,2021,98.67
India,IND,2022,98.67
India,IND,2023,98.8
India,IND,2024,99.06
Ukraine,UKR,2014,
Ukraine,UKR,2015,
Ukraine,UKR,2016,1.44
Ukraine,UKR,2017,3.0
Ukraine,UKR,2019,78.1
Ukraine,UKR,2020,87.15
Ukraine,UKR,2021,91.6
Ukraine,UKR,2022,91.0
Ukraine,UKR,2023,91.0
Aruba,ABW,2021,
South Africa,ZAF,2020,0.96
South Africa,ZAF,2021,16.58
South Africa,ZAF,2022,23.69
South Africa,ZAF,2023,41.76
South Africa,ZAF,2024,50.5
Brazil,BRA,2021,31.91
Brazil,BRA,2022,33.55
Brazil,BRA,2023,62.7
Brazil,BRA,2024,62.98
Chile,CHL,2022,79.0
Chile,CHL,2023,86.0
Chile,CHL,2024,87.0
India,IND,2021,
India,IND,2023,82.0
India,IND,2024,82.15
Ukraine,UKR,2021,
